Track ID,Track Name,Artists,genres,duration_ms,explicit,popularity,Album,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
6oNLSQX8bcAdbCElZYju3v,Supersonic,fromis_9,,174146,False,65,Supersonic,2024-08-12,0.672,0.801,6,-3.968,0,0.0413,0.0539,0.0,0.131,0.415,140.025
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),"LISA,ROSALÍA",,179789,False,78,New Woman (feat. ROSALÍA),2024-08-15,0.477,0.854,7,-4.715,1,0.275,0.0858,0.0,0.065,0.314,140.515
4sgMbwl9lXGyHcHmtFYGMm,Supernova,aespa,,178880,False,75,Armageddon - The 1st Album,2024-05-27,0.744,0.747,11,-4.281,0,0.0824,0.00691,2.03e-06,0.0739,0.368,120.077
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,,160688,False,87,SUPER REAL ME,2024-03-25,0.797,0.668,6,-5.819,1,0.0687,0.257,0.0,0.0876,0.69,131.067
0V2passWyAXnON67kfAj7y,ABCD,NAYEON,,162840,False,80,,2024-06-14,0.682,0.926,3,-2.515,0,0.0607,0.0404,0.0,0.19,0.86,105.969
4e1aewX6ATPcdfQIqr7gqO,Sticky,KISS OF LIFE,,157120,False,82,Sticky,2024-07-01,0.702,0.701,10,-3.86,0,0.0758,0.391,0.0,0.132,0.595,99.971
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,,170356,False,83,BABYMONS7ER,2024-04-01,0.774,0.728,2,-5.079,1,0.169,0.113,0.0,0.0473,0.461,140.041
5ocSQW5sIUIOFojwXEz9Ki,Supernatural,NewJeans,,191000,False,83,Supernatural,2024-06-21,0.699,0.708,10,-4.182,0,0.0496,0.185,8.43e-06,0.0921,0.863,108.887
0Md02V4hwKO5Vu5B7GD8tQ,FOREVER,BABYMONSTER,,212734,False,82,FOREVER,2024-07-01,0.833,0.704,0,-4.364,1,0.0502,0.102,0.0,0.101,0.644,129.986
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,,170887,False,94,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,,206019,False,90,GOLDEN,2023-11-03,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017
09keT5ocFhEd5W5HidiUNq,Chk Chk Boom,Stray Kids,,148051,False,87,ATE,2024-07-19,0.925,0.74,2,-2.698,1,0.123,0.166,0.0,0.0521,0.844,101.994
0h7QMc9ZRzA9QJrbEHytn2,The Astronaut,JIN,,282463,False,85,The Astronaut,2022-10-28,0.54,0.761,5,-5.356,1,0.0311,0.00446,2.5e-06,0.137,0.215,124.988
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,,219026,False,83,How Sweet,2024-05-24,0.803,0.895,1,-2.888,1,0.0623,0.0816,5.67e-06,0.154,0.757,124.994
5XWlyfo0kZ8LF7VSyfS4Ew,Drama,aespa,,214973,False,82,Drama - The 4th Mini Album,2023-11-10,0.644,0.872,6,-1.54,0,0.0417,0.164,0.0,0.363,0.378,131.016
74X2u8JMVooG2QbjRxXwR8,Perfect Night,LE SSERAFIM,,159080,False,81,Perfect Night,2023-10-27,0.697,0.82,5,-4.502,1,0.0308,0.1,0.0,0.0631,0.502,136.054
1OG1NoKpZZLrMqMYCk9m84,LALALALA,Stray Kids,,182224,False,77,ROCK-STAR,2023-11-10,0.705,0.849,0,-2.595,1,0.0493,0.0647,0.0,0.653,0.609,125.976
2UE9XGbAzicJIyo4bB6sqM,MAESTRO,SEVENTEEN,,198906,False,77,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',2024-04-29,0.679,0.842,4,-4.113,0,0.189,0.0819,1.2e-06,0.148,0.589,151.984
3VBj0lzjmhTzVFPEDOjNCG,BATTER UP,BABYMONSTER,,188179,False,77,BATTER UP,2023-11-27,0.903,0.685,11,-4.772,0,0.105,0.069,1.12e-05,0.127,0.873,130.01
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),"Jung Kook,Latto",,184400,False,82,Seven (feat. Latto),2023-07-14,0.788,0.841,11,-3.955,1,0.0432,0.301,0.0,0.0772,0.904,124.986
3FeVmId7tL5YN8B7R3imoM,My Universe,"Coldplay,BTS",,228000,False,75,My Universe,2021-09-24,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,,154666,False,81,NewJeans 'Super Shy',2023-07-07,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921
0CatzXH85XWyBqqdB6qPMB,Beatbox,NCT DREAM,,205133,False,75,Beatbox - The 2nd Album Repackage,2022-05-30,0.857,0.7,4,-4.189,0,0.074,0.0411,0.0,0.0334,0.773,93.997
6i8MbzVn4nzyjUcSoVcz7B,Armageddon,aespa,,196466,False,78,Armageddon - The 1st Album,2024-05-27,0.695,0.789,9,-2.05,1,0.0671,0.0651,1.39e-06,0.168,0.469,91.991
69xohKu8C1fsflYAiSNbwM,Run BTS,BTS,,204939,False,75,Proof,2022-06-10,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,,164545,False,80,EASY,2024-02-19,0.744,0.7,0,-5.154,1,0.0507,0.189,2.74e-06,0.114,0.602,165.004
6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),"Jung Kook,Jack Harlow",,201812,False,76,3D (feat. Jack Harlow),2023-09-29,0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044
4gOwpU4kMZZNDWkoHYUj1Z,해야 (HEYA),IVE,,189680,False,74,IVE SWITCH,2024-04-29,0.702,0.837,5,-3.447,0,0.0567,0.0297,0.0,0.227,0.685,91.986
7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,,168227,False,73,LALISA,2021-09-10,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,,212253,False,80,NewJeans 'OMG',2023-01-02,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956
4XPXrcpyNr30Km6aPiflJy,God’s Menu,Stray Kids,,167922,False,73,GO LIVE,2020-06-17,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052
1wcr8DjnN59Awev8nnKpQ4,Drunk-Dazed,ENHYPEN,,193260,False,73,BORDER : CARNIVAL,2021-04-26,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.0,0.0911,0.453,132.889
4lR8sYGMGZPvthF2yUfo7T,Smart,LE SSERAFIM,,166384,False,76,EASY,2024-02-19,0.799,0.675,1,-5.474,1,0.0465,0.115,0.0,0.0833,0.594,113.076
3lOMJTQTd6J34faYwASc33,POP!,NAYEON,,168106,False,73,IM NAYEON,2022-06-24,0.795,0.859,2,-2.994,1,0.0542,0.0361,0.0,0.0321,0.356,96.986
3dbLT62Cvs46Ju7a8gpr36,Savage,aespa,,238143,False,72,Savage - The 1st Mini Album,2021-10-05,0.727,0.879,9,-1.167,1,0.129,0.124,1.17e-05,0.244,0.671,146.959
63irPUP3xB74fHdw1Aw9zR,MANIAC,Stray Kids,,182757,False,72,ODDINARY,2022-03-18,0.581,0.8,1,-2.613,1,0.411,0.154,0.0,0.0697,0.709,119.872
0a4MMyCrzT0En247IhqZbD,Hype Boy,NewJeans,,179026,False,79,NewJeans 1st EP 'New Jeans',2022-08-01,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976
2gYj9lubBorOPIVWsTXugG,After LIKE,IVE,,176973,False,73,After LIKE,2022-08-22,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014
0IGUXY4JbK18bu9oD4mPIm,TOMBOY,(G)I-DLE,,174386,False,72,I NEVER DIE,2022-03-14,0.755,0.87,1,-2.414,0,0.0936,0.00988,0.0,0.0917,0.645,124.032
51vRumtqbkNW9wrKfESwfu,UNFORGIVEN (feat. Nile Rodgers),"LE SSERAFIM,Nile Rodgers",,182148,False,74,UNFORGIVEN,2023-05-01,0.795,0.875,4,-4.079,0,0.0525,0.111,8.94e-05,0.107,0.375,104.008
0ZPjVmof45INEERgYfadtv,Chasing That Feeling,TOMORROW X TOGETHER,,182670,False,71,The Name Chapter: FREEFALL,2023-10-13,0.69,0.842,10,-4.288,0,0.0739,0.0153,0.0,0.0639,0.626,141.994
0kE4TRJ0pWoRKzKdtbx8To,Cosmic,Red Velvet,,225864,False,72,Cosmic,2024-06-24,0.72,0.57,1,-4.482,1,0.0515,0.032,0.0,0.165,0.641,105.958
2zrhoHlFKxFTRF5aMyxMoQ,Next Level,aespa,,221573,False,72,Next Level,2021-05-17,0.82,0.852,11,-2.567,0,0.166,0.488,5.94e-06,0.0907,0.82,109.036
6I2tqFhk8tq69iursYxuxd,HOT,SEVENTEEN,,197586,False,71,SEVENTEEN 4th Album 'Face the Sun',2022-05-27,0.765,0.777,5,-4.376,0,0.0399,0.0539,2.58e-06,0.338,0.64,111.944
4QhnNyKDsAkXPwHkSnuc89,"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,,185538,False,73,UNFORGIVEN,2023-05-01,0.663,0.872,11,-5.056,1,0.2,0.0153,0.0,0.0519,0.626,142.951
0Q5VnK2DYzRyfqQRJuUtvi,LOVE DIVE,IVE,,177186,False,73,LOVE DIVE,2022-04-05,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941
5qI5EUqfDJpQ7w6sMECK7U,Super Lady,(G)I-DLE,,152186,False,71,2,2024-01-29,0.795,0.869,4,-4.456,0,0.116,0.0927,0.0,0.109,0.525,121.941
0aZG8KWrpRnsGL0loUkfSj,plot twist,TWS,,152400,False,71,TWS 1st Mini Album 'Sparkling Blue',2024-01-22,0.808,0.71,5,-4.798,1,0.0752,0.0102,0.0,0.144,0.73,112.066
45OflED18VsURGw2z0Y6Cv,Girls Never Die,tripleS,,187920,False,70,<ASSEMBLE24>,2024-05-08,0.667,0.912,11,-2.704,0,0.104,0.154,0.0,0.351,0.675,95.031
6gcuJpHu0Ey30D5WR76y98,You & Me,JENNIE,,179164,False,70,JENNIE Special Single [You & Me],2023-10-06,0.789,0.572,9,-6.227,1,0.0566,0.0155,2.06e-05,0.0955,0.561,112.01
4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,BLACKPINK,,194765,False,70,THE ALBUM,2020-10-02,0.654,0.707,6,-5.661,1,0.0664,0.00559,0.0,0.0873,0.448,127.97
7uQZVznj0uQOGC9KhV2Mg6,LALISA,LISA,,200689,False,70,LALISA,2021-09-10,0.806,0.653,8,-6.283,1,0.0902,0.0282,0.000784,0.107,0.85,150.058
7cIn67LEvk16v6komC8znS,ONE SPARK,TWICE,,183559,False,70,With YOU-th,2024-02-23,0.592,0.766,4,-4.928,0,0.0727,0.0151,0.0,0.753,0.413,169.005
4H65EdACzwqV8sTt3dDyA0,Get A Guitar,RIIZE,,160044,False,69,Get A Guitar,2023-09-04,0.9,0.621,8,-5.098,1,0.0717,0.126,9.44e-06,0.101,0.895,109.995
6NnCWIWV740gP7DQ8kqdIE,Nxde,(G)I-DLE,,178453,False,70,I love,2022-10-17,0.726,0.91,4,-1.948,0,0.179,0.0413,7.81e-06,0.479,0.648,135.966
7n2FZQsaLb7ZRfRPfEeIvr,ELEVEN,IVE,,178453,False,70,ELEVEN,2021-12-01,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978
1Z8TPHiKeCUyClxV6WTTIf,0X1=LOVESONG (I Know I Love You) feat. Seori,"TOMORROW X TOGETHER,Seori",,202203,False,69,The Chaos Chapter: FREEZE,2021-05-31,0.584,0.836,0,-4.925,1,0.079,0.0558,0.0,0.0663,0.484,104.973
2y8vRHEoz15sYDmxyrDePO,"If I’m S, Can You Be My N?",TWS,,168026,False,70,TWS 2nd Mini Album 'SUMMER BEAT!',2024-06-24,0.789,0.832,11,-3.248,0,0.111,0.0991,0.0,0.351,0.884,118.039
0RDqNCRBGrSegk16Avfzuq,Talk that Talk,TWICE,,177466,False,69,BETWEEN 1&2,2022-08-26,0.772,0.907,3,-2.438,0,0.124,0.136,0.0,0.334,0.783,119.973
6LnEoRQKMcaFTR5UvaKuBy,Rock with you,SEVENTEEN,,180360,False,69,SEVENTEEN 9th Mini Album 'Attacca',2021-10-22,0.621,0.816,11,-5.242,1,0.104,0.0966,0.0,0.134,0.694,163.966
7eBpUuPnDTfbeP1P4P93CS,Fighting (Feat. Lee Young Ji),"BSS,Lee Young Ji",,204466,False,69,BSS 1st Single Album 'SECOND WIND',2023-02-06,0.707,0.86,11,-2.935,0,0.191,0.103,0.0,0.0989,0.922,152.026
7uyeEbG6hyApgXuEypGcsZ,Baddie,IVE,,154360,False,69,I'VE MINE,2023-10-13,0.736,0.678,5,-4.503,1,0.0464,0.0459,5.46e-06,0.104,0.757,160.045
7nKQ5WAcjnG48knyLuo8gO,Red Flavor,Red Velvet,,191139,False,68,The Red Summer - Summer Mini Album,2017-07-09,0.709,0.917,9,-3.315,1,0.189,0.0409,0.0,0.0839,0.515,125.042
2J194R0KIKbK7bTHfUHPDB,Boom Boom Bass,RIIZE,,152889,False,68,RIIZING - The 1st Mini Album,2024-06-17,0.807,0.759,5,-4.24,0,0.0529,0.0194,9.1e-06,0.145,0.83,117.014
10SRMwb9EuVS1K9rYsBfHQ,Yet To Come,BTS,,193593,False,68,Proof,2022-06-10,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029
21aOLk12MksET8AsbU0SI6,LO$ER=LO♡ER,TOMORROW X TOGETHER,,199919,False,68,The Chaos Chapter: FIGHT OR ESCAPE,2021-08-17,0.644,0.867,11,-4.18,0,0.0383,0.001,0.0,0.105,0.687,124.997
6PRy17C5LiiN7VCLS6IA98,Future Perfect (Pass the MIC),ENHYPEN,,180750,False,67,MANIFESTO : DAY 1,2022-07-04,0.658,0.9,9,-3.479,0,0.264,0.0364,0.0,0.0771,0.526,156.096
1gq1gf44tZ9cyTdlcyoJd1,Strawberry Rush,CHUU,,176240,False,67,Strawberry Rush,2024-06-25,0.594,0.84,2,-3.816,1,0.0829,0.149,0.0,0.099,0.506,157.927
2pn8dNVSpYnAtlKFC8Q0DJ,On The Ground,ROSÉ,,168085,False,67,R,2021-03-12,0.311,0.607,1,-6.578,1,0.11,0.0174,0.0,0.131,0.286,188.7
5GKwq4sO5ZHKuWaDmdwMQc,Bad Boy,Red Velvet,,210817,False,68,The Perfect Red Velvet - The 2nd Album Repackage,2018-01-29,0.714,0.736,2,-3.801,1,0.0457,0.191,0.0,0.0553,0.814,149.985
5xrtzzzikpG3BLbo4q1Yul,LILAC,IU,,214253,False,67,IU 5th Album 'LILAC',2021-03-25,0.738,0.89,2,-2.275,0,0.0748,0.0895,1.89e-06,0.213,0.75,114.942
4Cyf87ul1le0xTWRFBoYd7,Killin’ Me Good,JIHYO,,185920,False,67,ZONE,2023-08-18,0.745,0.918,5,-0.683,1,0.0741,0.204,0.0,0.0449,0.647,111.966
0ARKW62l9uWIDYMZTUmJHF,Shut Down,BLACKPINK,,175889,False,67,BORN PINK,2022-09-16,0.814,0.704,0,-5.146,1,0.036,0.00291,0.0,0.182,0.621,110.056
1JNsKjaCFgTxjP3EkKfYZo,LOOP (feat. Lil Cherry),"Yves,Lil Cherry",,163480,False,67,LOOP,2024-05-29,0.875,0.526,5,-6.875,0,0.232,0.0736,7.66e-05,0.227,0.672,127.976
1HsSIPLTQT354yJcQGfEY3,Good Boy Gone Bad,TOMORROW X TOGETHER,,191038,False,67,minisode 2: Thursday's Child,2022-05-09,0.475,0.695,1,-5.919,1,0.102,0.0159,0.0,0.125,0.552,100.009
0xzI1KAr0Yd9tv8jlIk3sn,Bad Decisions (with BTS & Snoop Dogg),"benny blanco,BTS,Snoop Dogg",,172714,False,67,Bad Decisions (with BTS & Snoop Dogg),2022-08-05,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048
2oBMZYteeO8DyXV9gDx6Za,Feel My Rhythm,Red Velvet,,210253,False,67,‘The ReVe Festival 2022 - Feel My Rhythm’,2022-03-21,0.412,0.94,1,-2.171,1,0.215,0.0648,0.0,0.358,0.423,157.964
3BBBK2wYC1TLOyBLnSfWTI,BADVILLAIN,BADVILLAIN,,189283,False,67,OVERSTEP,2024-06-03,0.661,0.898,1,-3.637,0,0.0582,0.0463,0.0,0.144,0.691,133.986
0rKWJnmo6Q0ovoPOLoLm0t,TOO MUCH,"The Kid LAROI,Jung Kook,Central Cee",,203894,False,66,TOO MUCH,2023-10-19,0.753,0.719,10,-5.607,0,0.199,0.264,0.0,0.154,0.474,94.977
3QwiidVHfeE9y5jl4n2MTC,_WORLD,SEVENTEEN,,178453,False,66,SEVENTEEN 4th Album Repackage 'SECTOR 17',2022-07-18,0.709,0.809,2,-3.198,0,0.0541,0.312,0.0,0.0899,0.788,111.01
0pHylQR53epYtRcVIhUSCh,I Love My Body,HWASA,,150176,False,66,I Love My Body,2023-09-06,0.806,0.612,6,-3.249,0,0.0465,0.0547,4.16e-06,0.0843,0.462,140.014
6B8MM3PVQtUbZLay7tP7er,Hot Sauce,NCT DREAM,,195813,False,66,Hot Sauce - The 1st Album,2021-05-10,0.769,0.926,6,-1.627,1,0.0788,0.0127,0.0,0.285,0.551,100.034
1mFpMoeZfkIqtqW2AfQ8ba,THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,,162000,False,65,THE GIRLS (BLACKPINK THE GAME OST),2023-08-25,0.714,0.733,2,-4.291,1,0.0515,0.00163,0.0,0.176,0.368,79.986
6rXZhduf6TZb1mS1RjkHQ0,Ice Cream,JEON SOMI,,180742,False,65,Ice Cream,2024-08-02,0.797,0.783,6,-5.718,0,0.214,0.0157,0.0,0.0514,0.829,125.898
0BTaaKT4RMbs5M73tOHX5Y,Alcohol-Free,TWICE,,210573,False,65,Taste of Love,2021-06-11,0.688,0.909,8,-1.992,1,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097
4IaxDf2FixiQXq0mW7key9,ZOOM,Jessi,,174840,False,65,ZOOM,2022-04-13,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012
7egcmrxRDee6C5M3AtXZ7L,Memories,RIIZE,,178013,False,65,Memories,2023-08-21,0.691,0.802,5,-5.302,0,0.0521,0.015,0.0,0.101,0.399,92.961
3BPoSr2pO34Aan6alFfVto,BBoom BBoom,MOMOLAND,,208863,False,64,GREAT!,2018-01-03,0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018
0skYUMpS0AcbpjcGsAbRGj,Pink Venom,BLACKPINK,,186964,False,65,Pink Venom,2022-08-19,0.798,0.697,0,-7.139,1,0.0891,0.0202,0.0,0.259,0.745,90.031
52CBUrIdyf8tbZaUY9iawE,After School,Weeekly,,205373,False,64,We play,2021-03-17,0.634,0.928,1,-1.609,1,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007
3MOa6IKagO2lT9n0sI8fZQ,I NEED U - Spotify Singles,ENHYPEN,,181722,False,64,I NEED U - Spotify Singles,2024-02-16,0.635,0.683,5,-4.422,0,0.0423,0.12,0.0,0.347,0.819,164.015
3F4lHPNHlvr3RpO4tpVOIs,In Bloom,ZEROBASEONE,,180988,False,64,YOUTH IN THE SHADE,2023-07-10,0.551,0.886,6,-3.843,1,0.0699,0.111,0.0,0.112,0.383,82.034
5TNMJ6Csb2NgSohuz76XJT,But Sometimes,BOYNEXTDOOR,,175106,False,64,WHY..,2023-09-04,0.797,0.858,11,-3.678,0,0.0875,0.0363,0.0,0.378,0.684,97.058
3LCwQoTrdQgHsGJE5gGVqx,Step Back,GOT the beat,,228613,False,64,Step Back,2022-01-03,0.636,0.81,1,-2.035,1,0.101,0.0205,1.04e-05,0.596,0.611,161.897
14XLUySagFhP9KoqOTg5ka,VIBE (feat. Jimin of BTS),"TAEYANG,Jimin",,175775,False,63,VIBE (feat. Jimin of BTS),2023-01-13,0.787,0.677,0,-5.304,1,0.0435,0.0676,0.0,0.262,0.598,100.035
1zoyteFQmeUUqyOl2Xznpy,Tamed-Dashed,ENHYPEN,,196170,False,64,DIMENSION : DILEMMA,2021-10-12,0.568,0.809,11,-3.869,0,0.0517,0.000253,3.33e-05,0.151,0.709,155.029
5BXr7hYZQOeRttkeWYTq5S,ASAP,STAYC,,194080,False,63,STAYDOM,2021-04-08,0.764,0.802,0,-4.217,1,0.0351,0.102,0.0,0.189,0.323,132.02
6hWU8LrnjLyYHShDyNWFZj,Wife,(G)I-DLE,,121226,False,63,Wife,2024-01-21,0.899,0.823,11,-5.002,0,0.114,0.0264,0.00222,0.342,0.625,123.983
7rXcCpIAoOUCydkVDMcoPV,INVU,TAEYEON,,204973,False,63,INVU - The 3rd Album,2022-02-14,0.599,0.816,11,-3.412,0,0.0556,0.0911,2.17e-06,0.0961,0.399,106.962
1iGNZerzZHm2GLu7k1OS3J,Virtual Angel,ARTMS,,173640,False,63,<Dall>,2024-05-31,0.568,0.931,0,-3.269,0,0.0826,0.353,0.0,0.319,0.894,82.937
